oldname,newname
gpw_v4_e_a005_009ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_cntm_15_min
gpw_v4_e_a005_009ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_cntm_2pt5_min
gpw_v4_e_a005_009ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_cntm_30_min
gpw_v4_e_a005_009ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_cntm_30_sec
gpw_v4_e_a005_009ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_dens_1_deg
gpw_v4_e_a005_009ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_dens_15_min
gpw_v4_e_a005_009ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_dens_2pt5_min
gpw_v4_e_a005_009ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_dens_30_min
gpw_v4_e_a005_009ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_dens_30_sec
gpw_v4_e_a005_009mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_cntm_1_deg
gpw_v4_e_a005_009mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_cntm_15_min
gpw_v4_e_a005_009mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_cntm_2pt5_min
gpw_v4_e_a005_009mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_cntm_30_min
gpw_v4_e_a005_009mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_cntm_30_sec
gpw_v4_e_a005_009mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_dens_1_deg
gpw_v4_e_a005_009mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_dens_15_min
gpw_v4_e_a005_009mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_dens_2pt5_min
gpw_v4_e_a005_009mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_dens_30_min
gpw_v4_e_a005_009mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a005_009mt_2010_dens_30_sec
gpw_v4_e_a010_014bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_cntm_1_deg
gpw_v4_e_a010_014bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_cntm_15_min
gpw_v4_e_a010_014bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_cntm_2pt5_min
gpw_v4_e_a010_014bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_cntm_30_min
gpw_v4_e_a010_014bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_cntm_30_sec
gpw_v4_e_a010_014bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_dens_1_deg
gpw_v4_e_a010_014bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_dens_15_min
gpw_v4_e_a010_014bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_dens_2pt5_min
gpw_v4_e_a010_014bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_dens_30_min
gpw_v4_e_a010_014bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a010_014bt_2010_dens_30_sec
gpw_v4_e_a010_014ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_cntm_1_deg
gpw_v4_e_a010_014ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_cntm_15_min
gpw_v4_e_a010_014ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_cntm_2pt5_min
gpw_v4_e_a010_014ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_cntm_30_min
gpw_v4_e_a010_014ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_cntm_30_sec
gpw_v4_e_a010_014ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_dens_1_deg
gpw_v4_e_a010_014ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_dens_15_min
gpw_v4_e_a010_014ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_dens_2pt5_min
gpw_v4_e_a010_014ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_dens_30_min
gpw_v4_e_a010_014ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a010_014ft_2010_dens_30_sec
gpw_v4_e_a010_014mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_cntm_1_deg
gpw_v4_e_a010_014mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_cntm_15_min
gpw_v4_e_a010_014mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_cntm_2pt5_min
gpw_v4_e_a010_014mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_cntm_30_min
gpw_v4_e_a010_014mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_cntm_30_sec
gpw_v4_e_a010_014mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_dens_1_deg
gpw_v4_e_a010_014mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_dens_15_min
gpw_v4_e_a010_014mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_dens_2pt5_min
gpw_v4_e_a010_014mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_dens_30_min
gpw_v4_e_a010_014mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a010_014mt_2010_dens_30_sec
gpw_v4_e_a015_019bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_cntm_1_deg
gpw_v4_e_a015_019bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_cntm_15_min
gpw_v4_e_a015_019bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_cntm_2pt5_min
gpw_v4_e_a015_019bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_cntm_30_min
gpw_v4_e_a015_019bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_cntm_30_sec
gpw_v4_e_a015_019bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_dens_1_deg
gpw_v4_e_a015_019bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_dens_15_min
gpw_v4_e_a015_019bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_dens_2pt5_min
gpw_v4_e_a015_019bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_dens_30_min
gpw_v4_e_a015_019bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_019bt_2010_dens_30_sec
gpw_v4_e_a015_019ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_cntm_1_deg
gpw_v4_e_a015_019ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_cntm_15_min
gpw_v4_e_a015_019ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_cntm_2pt5_min
gpw_v4_e_a015_019ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_cntm_30_min
gpw_v4_e_a015_019ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_cntm_30_sec
gpw_v4_e_a015_019ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_dens_1_deg
gpw_v4_e_a015_019ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_dens_15_min
gpw_v4_e_a015_019ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_dens_2pt5_min
gpw_v4_e_a015_019ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_dens_30_min
gpw_v4_e_a015_019ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_019ft_2010_dens_30_sec
gpw_v4_e_a015_019mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_cntm_1_deg
gpw_v4_e_a015_019mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_cntm_15_min
gpw_v4_e_a015_019mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_cntm_2pt5_min
gpw_v4_e_a015_019mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_cntm_30_min
gpw_v4_e_a015_019mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_cntm_30_sec
gpw_v4_e_a015_019mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_dens_1_deg
gpw_v4_e_a015_019mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_dens_15_min
gpw_v4_e_a015_019mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_dens_2pt5_min
gpw_v4_e_a015_019mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_dens_30_min
gpw_v4_e_a015_019mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_019mt_2010_dens_30_sec
gpw_v4_e_a015_049bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_cntm_1_deg
gpw_v4_e_a015_049bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_cntm_15_min
gpw_v4_e_a015_049bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_cntm_2pt5_min
gpw_v4_e_a015_049bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_cntm_30_min
gpw_v4_e_a015_049bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_cntm_30_sec
gpw_v4_e_a015_049bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_dens_1_deg
gpw_v4_e_a015_049bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_dens_15_min
gpw_v4_e_a015_049bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_dens_2pt5_min
gpw_v4_e_a015_049bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_dens_30_min
gpw_v4_e_a015_049bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_049bt_2010_dens_30_sec
gpw_v4_e_a015_049ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_cntm_1_deg
gpw_v4_e_a015_049ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_cntm_15_min
gpw_v4_e_a015_049ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_cntm_2pt5_min
gpw_v4_e_a015_049ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_cntm_30_min
gpw_v4_e_a015_049ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_cntm_30_sec
gpw_v4_e_a015_049ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_dens_1_deg
gpw_v4_e_a015_049ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_dens_15_min
gpw_v4_e_a015_049ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_dens_2pt5_min
gpw_v4_e_a015_049ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_dens_30_min
gpw_v4_e_a015_049ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_049ft_2010_dens_30_sec
gpw_v4_e_a015_049mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_cntm_1_deg
gpw_v4_e_a015_049mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_cntm_15_min
gpw_v4_e_a015_049mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_cntm_2pt5_min
gpw_v4_e_a015_049mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_cntm_30_min
gpw_v4_e_a015_049mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_cntm_30_sec
gpw_v4_e_a015_049mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_dens_1_deg
gpw_v4_e_a015_049mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_dens_15_min
gpw_v4_e_a015_049mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_dens_2pt5_min
gpw_v4_e_a015_049mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_dens_30_min
gpw_v4_e_a015_049mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_049mt_2010_dens_30_sec
gpw_v4_e_a015_064bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_cntm_1_deg
gpw_v4_e_a015_064bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_cntm_15_min
gpw_v4_e_a015_064bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_cntm_2pt5_min
gpw_v4_e_a015_064bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_cntm_30_min
gpw_v4_e_a015_064bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_cntm_30_sec
gpw_v4_e_a015_064bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_dens_1_deg
gpw_v4_e_a015_064bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_dens_15_min
gpw_v4_e_a015_064bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_dens_2pt5_min
gpw_v4_e_a015_064bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_dens_30_min
gpw_v4_e_a015_064bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_064bt_2010_dens_30_sec
gpw_v4_e_a015_064ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_cntm_1_deg
gpw_v4_e_a015_064ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_cntm_15_min
gpw_v4_e_a015_064ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_cntm_2pt5_min
gpw_v4_e_a015_064ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_cntm_30_min
gpw_v4_e_a015_064ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_cntm_30_sec
gpw_v4_e_a015_064ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_dens_1_deg
gpw_v4_e_a015_064ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_dens_15_min
gpw_v4_e_a015_064ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_dens_2pt5_min
gpw_v4_e_a015_064ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_dens_30_min
gpw_v4_e_a015_064ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_064ft_2010_dens_30_sec
gpw_v4_e_a015_064mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_cntm_1_deg
gpw_v4_e_a015_064mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_cntm_15_min
