GRIDCODE	ISOCODE	UNSDCODE	NAME0	CIESINCODE	DATATYPE	DATACODE	DATAYEAR	DATALEVEL	GRSTART	GREND	GRLEVEL	LASTCENSUS	MEANUNITKM
352	ISL	352	Iceland	352	Population register	5	2010	2	2000	2010	2	2011	3032
356	IND	356	India	356	Final census	1	2011	3	2001	2011	2	2011	1802
360	IDN	360	Indonesia	360	Final census	1	2010	3	2000	2010	3	2010	12114
364	IRN	364	Iran (Islamic Republic of)	364	Final census	1	2011	2	2006	2011	2	2016	12473
368	IRQ	368	Iraq	368	Population estimate/projection	6	2003	2	1997	2011	1	1997	31806
372	IRL	372	Ireland	372	Final census	1	2011	4	2006	2011	3	2016	17
376	ISR	376	Israel	376	Final census	1	2008	3	2001	2008	2	2008	1895
380	ITA	380	Italy	380	Final census	1	2011	4	2001	2011	3	2011	25
384	CIV	384	Côte d'Ivoire	384	Final census	1	2014	4	1998	2014	3	2014	1227
388	JAM	388	Jamaica	388	Final census	1	2011	1	2001	2011	1	2011	932
392	JPN	392	Japan	392	Final census	1	2010	2	2005	2010	1	2010	496
398	KAZ	398	Kazakhstan	398	Final census	1	2009	2	1999	2009	2	2009	31756
400	JOR	400	Jordan	400	Final census	1	2004	3	1994	2004	1	2015	14974
404	KEN	404	Kenya	404	Final census	1	2009	5	1999	2009	1	2009	976
408	PRK	408	Democratic People's Republic of Korea	408	Final census	1	2008	2	2001	2008	1	2008	953
410	KOR	410	Republic of Korea	410	Final census	1	2010	2	2000	2010	2	2015	735
414	KWT	414	Kuwait	414	Final census	1	2005	1	1995	2005	1	2011	10190
417	KGZ	417	Kyrgyzstan	417	Final census	1	2009	2	1999	2009	1	2009	6977
418	LAO	418	Lao People's Democratic Republic	418	Final census	1	2005	3	1995	2005	2	2015	101
422	LBN	422	Lebanon	422	Population estimate/projection	6	2002	3	1996	2002	2	1932	38
426	LSO	426	Lesotho	426	Final census	1	2006	2	1996	2006	1	2006	741
428	LVA	428	Latvia	428	Final census	1	2011	2	2011	2013	2	2011	991
430	LBR	430	Liberia	430	Final census	1	2008	2	1984	2008	1	2008	1229
434	LBY	434	Libya	434	Final census	1	2006	1	1995	2006	0	2006	212115
438	LIE	438	Liechtenstein	438	Final census	1	2010	1	2010	2013	1	2015	23
440	LTU	440	Lithuania	440	Final census	1	2011	2	2001	2011	2	2011	1367
442	LUX	442	Luxembourg	442	Final census	1	2011	4	2001	2011	3	2011	30
446	MAC	446	China Macao Special Administrative Region	446	Final census	1	2011	3	2006	2011	3	2011	7
450	MDG	450	Madagascar	450	Population estimate/projection	6	2010	4	2003	2010	3	1993	1118
454	MWI	454	Malawi	454	Final census	1	2008	3	1998	2008	2	2008	185
458	MYS	458	Malaysia	458	Final census	1	2010	3	2000	2010	2	2010	4859
462	MDV	462	Maldives	462	Final census	1	2006	2	2000	2006	2	2014	5
466	MLI	466	Mali	466	Final census	1	2009	4	1998	2009	3	2009	79610
470	MLT	470	Malta	470	Final census	1	2011	2	2005	2011	2	2011	11
474	MTQ	474	Martinique	474	Population register	5	2009	2	1999	2009	2	2015	39
478	MRT	478	Mauritania	478	Final census	1	2013	3	2000	2013	3	2013	74903
480	MUS	480	Mauritius	480	Final census	1	2011	3	2000	2011	1	2011	22
484	MEX	484	Mexico	484	Final census	1	2010	3	2005	2010	2	2010	341
492	MCO	492	Monaco	492	Population estimate/projection	6	2008	2	2000	2008	2	2016	1
496	MNG	496	Mongolia	496	Final census	1	2010	2	2000	2010	1	2010	8147
498	MDA	498	Republic of Moldova	498	Final census	1	2004	1	1989	2004	1	2014	947
499	MNE	499	Montenegro	499	Final census	1	2011	1	2003	2011	1	2011	976
500	MSR	500	Montserrat	500	Final census	1	2011	2	2001	2011	0	2011	50
504	MAR	504	Morocco	504	Final census	1	2014	3	2004	2014	2	2014	1537
508	MOZ	508	Mozambique	508	Final census	1	2007	3	1997	2007	3	2007	3463
512	OMN	512	Oman	512	Final census	1	2010	2	2003	2010	2	2010	23406
516	NAM	516	Namibia	516	Final census	1	2011	3	2001	2011	2	2011	3653
520	NRU	520	Nauru	520	Final census	1	2011	1	2002	2011	1	2011	2
524	NPL	524	Nepal	524	Final census	1	2011	4	2001	2011	3	2011	193
528	NLD	528	Netherlands	528	Population register	5	2011	2	2001	2011	2	2011	145
531	CUW	531	Curaçao	531	Final census	1	2011	1	2001	2011	1	2011	20
533	ABW	533	Aruba	533	Final census	1	2010	2	2000	2010	2	2010	6
534	SXM	534	Sint Maarten (Dutch part)	534	Final census	1	2011	1	2001	2011	1	0	9
535	BES	535	Bonaire Saint Eustatius and Saba	535	Population register	5	2010	1	2001	2010	1	2001	220
540	NCL	540	New Caledonia	540	Final census	1	2009	3	2004	2009	3	2014	752
548	VUT	548	Vanuatu	548	Final census	1	2009	3	1999	2009	1	2016	89
554	NZL	554	New Zealand	554	Final census	1	2013	3	2006	2013	1	2013	270
558	NIC	558	Nicaragua	558	Final census	1	2005	2	1995	2005	2	2005	2716
562	NER	562	Niger	562	Final census	1	2012	2	2001	2012	2	2012	112392
566	NGA	566	Nigeria	566	Final census	1	2006	2	1991	2006	1	2006	2898
570	NIU	570	Niue	570	Final census	1	2011	1	2006	2011	1	2011	32
574	NFK	0	Norfolk Island	574	Final census	1	2011	1	2001	2011	1	2016	34
578	NOR	578	Norway	578	Population register	5	2011	2	2001	2011	2	2011	1837
580	MNP	580	Northern Mariana Islands	580	Final census	1	2010	2	2000	2010	1	2010	19
583	FSM	583	Micronesia (Federated States of)	583	Final census	1	2010	3	2000	2010	3	2010	5
584	MHL	584	Marshall Islands	584	Final census	1	2011	1	1999	2011	1	2011	16
585	PLW	585	Palau	585	Final census	1	2005	1	2000	2005	1	2015	50
586	PAK	586	Pakistan	586	Population estimate/projection	6	2010	3	1998	2010	3	2008	6683
591	PAN	591	Panama	591	Final census	1	2010	3	2000	2010	1	2010	479
598	PNG	598	Papua New Guinea	598	Final census	1	2011	2	2000	2011	2	2011	15589
600	PRY	600	Paraguay	600	Population estimate/projection	6	2010	2	2002	2010	2	2012	21892
604	PER	604	Peru	604	Final census	1	2007	3	1993	2007	3	2007	6780
608	PHL	608	Philippines	608	Final census	1	2010	3	2007	2010	2	2015	51
612	PCN	0	Pitcairn	612	Final census	1	2008	0	2000	2008	0	2015	54
616	POL	616	Poland	616	Final census	1	2011	4	2002	2011	4	2011	173
620	PRT	620	Portugal	620	Final census	1	2011	6	2001	2011	4	2011	11
624	GNB	624	Guinea-Bissau	624	Final census	1	2009	2	1991	2009	2	2009	1219
626	TLS	626	Timor-Leste	626	Final census	1	2010	3	2004	2010	3	2015	77
630	PRI	630	Puerto Rico	630	Final census	1	2010	4	2000	2010	2	2010	1
634	QAT	634	Qatar	634	Final census	1	2010	2	2004	2010	2	2015	934
638	REU	638	Réunion	638	Population register	5	2009	2	1999	2009	2	2015	140
642	ROU	642	Romania	642	Final census	1	2011	4	2002	2011	3	2011	115
643	RUS	643	Russian Federation	643	Final census	1	2010	3	2002	2010	1	2010	201129
646	RWA	646	Rwanda	646	Final census	1	2012	3	2002	2012	3	2012	78
652	BLM	0	Saint-Barthelemy	652	Population register	5	2009	0	1999	2009	0	2015	25
654	SHN	654	Saint Helena	654	"Final census, population register"	2	2014	2	1998	2008	1	2016	77
659	KNA	659	Saint Kitts and Nevis	659	Final census	1	2001	2	1991	2001	2	2011	22
660	AIA	660	Anguilla	660	Preliminary/provisional census	4	2011	0	2001	2011	0	2011	82
662	LCA	662	Saint Lucia	662	Final census	1	2010	1	2001	2010	1	2010	72
663	MAF	0	Saint-Martin (French part)	663	Population register	5	2009	0	1999	2009	0	2015	49
666	SPM	666	Saint Pierre and Miquelon	666	Final census	1	2009	1	1999	2009	1	2015	170
670	VCT	670	Saint Vincent and the Grenadines	670	Final census	1	2012	1	2001	2012	1	2012	40
674	SMR	674	San Marino	674	Preliminary/provisional census	4	2010	1	2000	2010	1	2010	7
678	STP	678	Sao Tome and Principe	678	Final census	1	2012	2	2001	2012	2	2012	191
682	SAU	682	Saudi Arabia	682	Final census	1	2010	2	2004	2010	1	2010	103621
686	SEN	686	Senegal	686	Final census	1	2013	2	2002	2013	0	2013	8458
688	SRB	688	Serbia	688	Final census	1	2011	5	2002	2011	3	2011	43
690	SYC	690	Seychelles	690	Final census	1	2010	2	2002	2010	2	2010	177
694	SLE	694	Sierra Leone	694	Final census	1	2004	3	1985	2004	2	2015	773
702	SGP	702	Singapore	702	Final census	1	2010	2	2000	2010	2	2010	20
703	SVK	703	Slovakia	703	Final census	1	2011	3	2001	2011	3	2011	37
704	VNM	704	Viet Nam	704	Final census	1	2009	3	1999	2009	2	2009	912
705	SVN	705	Slovenia	705	Final census	1	2010	3	2008	2010	2	2015	13
706	SOM	706	Somalia	706	Population estimate/projection	6	2005	3	2005	2012	0	1987	12402
710	ZAF	710	South Africa	710	Final census	1	2011	6	2001	2011	3	2011	1588
716	ZWE	716	Zimbabwe	716	Final census	1	2012	2	2002	2012	1	2012	9408
724	ESP	724	Spain	724	Final census	1	2011	3	2001	2011	2	2011	198
728	SSD	728	South Sudan	728	Final census	1	2008	2	1983	2008	1	2008	15907
729	SDN	0	Sudan	729	Final census	1	2008	2	1993	2008	1	2008	57596
732	ESH	732	Western Sahara	732	Final census	1	2014	3	2004	2014	2	0	13530
740	SUR	740	Suriname	740	Final census	1	2012	2	2004	2012	2	2012	20171
744	SJM	0	Svalbard and Jan Mayen Islands	744	Population register	5	2010	0	2010	2013	0	2010	25632
748	SWZ	748	Swaziland	748	Final census	1	2007	2	1997	2007	1	2007	416
752	SWE	752	Sweden	752	Population register	5	2010	3	2005	2010	2	2011	3959
756	CHE	756	Switzerland	756	Final census	1	2010	3	2001	2010	3	2010	59
760	SYR	760	Syrian Arab Republic	760	Final census	1	2004	3	2004	2011	1	2004	4907
762	TJK	762	Tajikistan	762	Final census	1	2010	2	2000	2010	2	2010	11758
764	THA	764	Thailand	764	Preliminary/provisional census	4	2010	2	2000	2010	1	2010	1000
768	TGO	768	Togo	768	Final census	1	2010	2	2000	2010	2	2010	2847
772	TKL	772	Tokelau	772	Final census	1	2011	1	2006	2011	0	2016	5
776	TON	776	Tonga	776	Final census	1	2011	1	2006	2011	1	2011	196
780	TTO	780	Trinidad and Tobago	780	Final census	1	2011	1	2000	2011	1	2011	594
784	ARE	784	United Arab Emirates	784	Final census	1	2005	1	1995	2005	1	2010	58248
788	TUN	788	Tunisia	788	Final census	1	2014	2	2004	2014	2	2010	6172
792	TUR	792	Turkey	792	Population register	5	2010	2	2000	2010	2	2011	1365
795	TKM	795	Turkmenistan	795	Population estimate/projection	6	2005	1	1995	2005	1	2012	95108
796	TCA	796	Turks and Caicos Islands	796	Final census	1	2012	2	2001	2012	2	2012	188
798	TUV	798	Tuvalu	798	Final census	1	2012	3	2002	2012	1	2012	19
800	UGA	800	Uganda	800	Preliminary/provisional census	4	2014	3	2002	2014	1	2014	452
804	UKR	804	Ukraine	804	Population estimate/projection	6	2013	2	2001	2013	2	2001	1286
